name,category,address,latitude,longitude,distance_miles,direction,distance_label,rating,source,notes
[Subject] Pacific & Pinson - Forney,Subject Property,,32.7511104,-96.4734864,0,N/A,Subject Property,,Vaulter Project Master,
Botanica Flor De Jerico,Retail & Big Box,"202 West Pacific Street, Forney",32.7508054,-96.47282849999999,0.04,ESE,ESE - 0.04 mi,4.7,Google Places,"home_goods_store, health, store, point_of_interest, establishment"
The Home Decor Company Texas,Retail & Big Box,"406 Pinson Road Suite b, Forney",32.7522796,-96.4717549,0.13,NE,NE - 0.13 mi,4.8,Google Places,"home_goods_store, store, point_of_interest, establishment"
"Birdman Kustom Electronics, LLC",Technology & Innovation,"205 West Broad Street, Forney",32.750125,-96.471572,0.13,ESE,ESE - 0.13 mi,4.9,Google Places,"electronics_store, store, point_of_interest, establishment"
Forney City Hall,Government & Civic,"401 Pinson Road, Forney",32.7527874,-96.472116,0.14,NE,NE - 0.14 mi,5,Google Places,"local_government_office, point_of_interest, establishment"
Pizza Grand,Restaurant & QSR,"420 Pinson Road, Forney",32.7528804,-96.4709737,0.19,NE,NE - 0.19 mi,4.3,Google Places,"restaurant, food, point_of_interest, establishment"
Dollar General,Gas & Convenience,"410 West Broad Street, Forney",32.7536571,-96.47228249999999,0.19,NNE,NNE - 0.19 mi,3.8,Google Places,"drugstore, convenience_store, grocery_or_supermarket, food, health, store, point_of_interest, establishment"
Kasti Trucking Llc,Industrial & Logistics,"110 West Broad Street, Forney",32.7497438,-96.47045759999999,0.2,ESE,ESE - 0.2 mi,1,Google Places,"moving_company, point_of_interest, establishment"
Caboose Park,Parks & Recreation,"94 South Bois D'Arc Street, Forney",32.7487788,-96.4713137,0.2,SE,SE - 0.2 mi,,Google Places,"park, point_of_interest, establishment"
Handprints Academy,School & University,"412 West Broad Street, Forney",32.7540523,-96.4728399,0.21,N,N - 0.21 mi,4.5,Google Places,"primary_school, school, point_of_interest, establishment"
The Pearl of Dauphin Island - Apartment with Sea View,Hospitality,United States,32.7481918,-96.4719315,0.22,SSE,SSE - 0.22 mi,,Google Places,"lodging, point_of_interest, establishment"
Sister House,Hospitality,Forney,32.7481845,-96.4719312,0.22,SSE,SSE - 0.22 mi,5,Google Places,"lodging, point_of_interest, establishment"
Mesquite Logistics Stream Realty,Industrial & Logistics,"112 South Bois D'Arc Street, Forney",32.7481845,-96.4719312,0.22,SSE,SSE - 0.22 mi,5,Google Places,"storage, point_of_interest, establishment"
Cicis Pizza To Go,Restaurant & QSR,"100 West Broad Street Suite 200, Forney",32.7494567,-96.4702839,0.22,ESE,ESE - 0.22 mi,4,Google Places,"meal_takeaway, meal_delivery, restaurant, food, point_of_interest, establishment"
Roxstar Eatz N Treatz,Restaurant & QSR,"Come to my Place, 1234, Forney",32.7481845,-96.4719312,0.22,SSE,SSE - 0.22 mi,,Google Places,"meal_takeaway, restaurant, food, point_of_interest, establishment"
Hamblen park,Parks & Recreation,"94 South Bois D'Arc Street, Forney",32.748494,-96.47100089999999,0.23,SE,SE - 0.23 mi,,Google Places,"park, point_of_interest, establishment"
First Methodist Forney Preschool,School & University,"414 West Broad Street, Forney",32.754563,-96.4734484,0.24,N,N - 0.24 mi,5,Google Places,"school, point_of_interest, establishment"
Donut Palace,Restaurant & QSR,"425 Pinson Road D, Forney",32.7539599,-96.47109590000001,0.24,NE,NE - 0.24 mi,4.6,Google Places,"bakery, food, store, point_of_interest, establishment"
Jack Rabbit Quick Stop,Gas & Convenience,"100 East Broad Street, Forney",32.74873819999999,-96.47052769999999,0.24,SE,SE - 0.24 mi,3.8,Google Places,"convenience_store, gas_station, store, food, point_of_interest, establishment"
Record Nations,Industrial & Logistics,"425 Pinson Road Suite M, Forney",32.75406570000001,-96.4710709,0.25,NE,NE - 0.25 mi,,Google Places,"storage, store, point_of_interest, establishment"
"GT III LOGISTICS, LLC",Industrial & Logistics,"425 Pinson Road Suite M-39, Forney",32.7541564,-96.4711167,0.25,NNE,NNE - 0.25 mi,,Google Places,"moving_company, point_of_interest, establishment"
After the Reign,School & University,"425 Pinson Road Suite M, #2062, Forney",32.75406570000001,-96.4710709,0.25,NE,NE - 0.25 mi,,Google Places,"university, point_of_interest, establishment"
